iso3_exp,exporter,GEO,nGDP,rank,share,sector,NACEr1,CO2_intensity,destination,X,X_CBAM
ARG,Argentina,Americas,557532.31,28,.0038208503,Electrical and optical equipment,30t33,.20186955,EU27,34014.35805023939,0
ARG,Argentina,Americas,557532.31,28,.0038208503,Electrical and optical equipment,30t33,.20186955,RoW,320555.0846310545,0
ARG,Argentina,Americas,557532.31,28,.0038208503,Transport equipment,34t35,.29114175,EU27,359286.2871917058,0
ARG,Argentina,Americas,557532.31,28,.0038208503,Transport equipment,34t35,.29114175,RoW,5459519.556954756,0
ARG,Argentina,Americas,557532.31,28,.0038208503,Manufacturing nec; recycling,36t37,.26614583,EU27,310245.4132839465,0
ARG,Argentina,Americas,557532.31,28,.0038208503,Manufacturing nec; recycling,36t37,.26614583,RoW,384610.7725008272,2587.184963226318
ARG,Argentina,Americas,557532.31,28,.0038208503,"Agriculture, hunting, forestry and fishing",AtB,.37349537,EU27,1228743.158138046,0
ARG,Argentina,Americas,557532.31,28,.0038208503,"Agriculture, hunting, forestry and fishing",AtB,.37349537,RoW,12497565.08993771,0
ARG,Argentina,Americas,557532.31,28,.0038208503,Mining and quarrying,C,1.4879924,EU27,700154.5052617211,1.051999986171722
ARG,Argentina,Americas,557532.31,28,.0038208503,Mining and quarrying,C,1.4879924,RoW,1254190.653987006,3022.815991163254
AUS,Australia,Oceania,1306598.8,14,.013224801,"Food , beverages and tobacco",15t16,.35987267,EU27,483491.2611472997,0
AUS,Australia,Oceania,1306598.8,14,.013224801,"Food , beverages and tobacco",15t16,.35987267,RoW,18498146.48254032,0
AUS,Australia,Oceania,1306598.8,14,.013224801,Textiles and textile,17t18,.34086084,EU27,55091.08574774698,0
AUS,Australia,Oceania,1306598.8,14,.013224801,Textiles and textile,17t18,.34086084,RoW,647299.5525182683,0
AUS,Australia,Oceania,1306598.8,14,.013224801,"Leather, leather and footwear",19,.19375706,EU27,65550.97766381118,0
AUS,Australia,Oceania,1306598.8,14,.013224801,"Leather, leather and footwear",19,.19375706,RoW,204376.1915247384,0
AUS,Australia,Oceania,1306598.8,14,.013224801,Wood and of wood and cork,20,.46805823,EU27,4479.515951977577,0
AUS,Australia,Oceania,1306598.8,14,.013224801,Wood and of wood and cork,20,.46805823,RoW,1049637.740635887,0
AUS,Australia,Oceania,1306598.8,14,.013224801,"Pulp, paper, paper , printing and publishing",21t22,.45346645,EU27,49114.64475597057,0
AUS,Australia,Oceania,1306598.8,14,.013224801,"Pulp, paper, paper , printing and publishing",21t22,.45346645,RoW,1142073.978291901,0
AUS,Australia,Oceania,1306598.8,14,.013224801,"Coke, refined petroleum and nuclear fuel",23,2.87748,EU27,79315.28034414421,0
AUS,Australia,Oceania,1306598.8,14,.013224801,"Coke, refined petroleum and nuclear fuel",23,2.87748,RoW,1571057.963246144,0
AUS,Australia,Oceania,1306598.8,14,.013224801,Chemicals and chemical,24,1.4067867,EU27,531819.6816177522,32691.86618662626
AUS,Australia,Oceania,1306598.8,14,.013224801,Chemicals and chemical,24,1.4067867,RoW,6510192.730292814,550420.100715857
AUS,Australia,Oceania,1306598.8,14,.013224801,Rubber and plastics,25,.2790187,EU27,57261.34297543427,0
AUS,Australia,Oceania,1306598.8,14,.013224801,Rubber and plastics,25,.2790187,RoW,773017.8183955709,0
AUS,Australia,Oceania,1306598.8,14,.013224801,Other non-metallic mineral,26,4.8430367,EU27,22885.57478890941,.153999999165535
AUS,Australia,Oceania,1306598.8,14,.013224801,Other non-metallic mineral,26,4.8430367,RoW,198180.5488667949,3642.49603459239
AUS,Australia,Oceania,1306598.8,14,.013224801,Basic metals and fabricated metal,27t28,1.9624588,EU27,344579.6475957673,75074.90932447894
AUS,Australia,Oceania,1306598.8,14,.013224801,Basic metals and fabricated metal,27t28,1.9624588,RoW,35444432.76181521,3923380.56313622
AUS,Australia,Oceania,1306598.8,14,.013224801,"Machinery, nec",29,.19455881,EU27,304911.8996382518,355.5559980110265
AUS,Australia,Oceania,1306598.8,14,.013224801,"Machinery, nec",29,.19455881,RoW,3535700.627607531,11762.72899719467
AUS,Australia,Oceania,1306598.8,14,.013224801,Electrical and optical equipment,30t33,.20186955,EU27,713252.1713206567,0
AUS,Australia,Oceania,1306598.8,14,.013224801,Electrical and optical equipment,30t33,.20186955,RoW,5561037.113111616,0
AUS,Australia,Oceania,1306598.8,14,.013224801,Transport equipment,34t35,.29114175,EU27,248385.2622300262,0
AUS,Australia,Oceania,1306598.8,14,.013224801,Transport equipment,34t35,.29114175,RoW,4025960.48433883,0
AUS,Australia,Oceania,1306598.8,14,.013224801,Manufacturing nec; recycling,36t37,.26614583,EU27,254298.8941622956,16946.33631896973
AUS,Australia,Oceania,1306598.8,14,.013224801,Manufacturing nec; recycling,36t37,.26614583,RoW,3801515.307690963,327101.25649786
AUS,Australia,Oceania,1306598.8,14,.013224801,"Agriculture, hunting, forestry and fishing",AtB,.37349537,EU27,1343276.173893042,0
AUS,Australia,Oceania,1306598.8,14,.013224801,"Agriculture, hunting, forestry and fishing",AtB,.37349537,RoW,14260446.42068335,0
AUS,Australia,Oceania,1306598.8,14,.013224801,Mining and quarrying,C,1.4879924,EU27,3314829.6843943,143.9050006866455
AUS,Australia,Oceania,1306598.8,14,.013224801,Mining and quarrying,C,1.4879924,RoW,99260346.77678993,185967.4015184334
AZE,Azerbaijan,Asia,37867.004,53,.00089092914,"Food , beverages and tobacco",15t16,.35987267,EU27,4469.603995483369,0
AZE,Azerbaijan,Asia,37867.004,53,.00089092914,"Food , beverages and tobacco",15t16,.35987267,RoW,140994.1055958427,0
AZE,Azerbaijan,Asia,37867.004,53,.00089092914,Textiles and textile,17t18,.34086084,EU27,3853.084981671069,0
AZE,Azerbaijan,Asia,37867.004,53,.00089092914,Textiles and textile,17t18,.34086084,RoW,39173.73110806092,0
AZE,Azerbaijan,Asia,37867.004,53,.00089092914,"Leather, leather and footwear",19,.19375706,EU27,310.903997648973,0
AZE,Azerbaijan,Asia,37867.004,53,.00089092914,"Leather, leather and footwear",19,.19375706,RoW,6433.14788288495,0
AZE,Azerbaijan,Asia,37867.004,53,.00089092914,Wood and of wood and cork,20,.46805823,EU27,31.88999932818115,0
AZE,Azerbaijan,Asia,37867.004,53,.00089092914,Wood and of wood and cork,20,.46805823,RoW,1343.349011636339,0
AZE,Azerbaijan,Asia,37867.004,53,.00089092914,"Pulp, paper, paper , printing and publishing",21t22,.45346645,EU27,200.3440014757216,0
AZE,Azerbaijan,Asia,37867.004,53,.00089092914,"Pulp, paper, paper , printing and publishing",21t22,.45346645,RoW,5663.168986479752,0
AZE,Azerbaijan,Asia,37867.004,53,.00089092914,"Coke, refined petroleum and nuclear fuel",23,2.87748,EU27,216390.3950563073,0
AZE,Azerbaijan,Asia,37867.004,53,.00089092914,"Coke, refined petroleum and nuclear fuel",23,2.87748,RoW,324909.683352489,0
AZE,Azerbaijan,Asia,37867.004,53,.00089092914,Chemicals and chemical,24,1.4067867,EU27,35486.78831929795,23.39299964904785
AZE,Azerbaijan,Asia,37867.004,53,.00089092914,Chemicals and chemical,24,1.4067867,RoW,145029.5432844023,3826.473008945584
AZE,Azerbaijan,Asia,37867.004,53,.00089092914,Rubber and plastics,25,.2790187,EU27,129.2230002717115,0
AZE,Azerbaijan,Asia,37867.004,53,.00089092914,Rubber and plastics,25,.2790187,RoW,3533.358960955986,0
AZE,Azerbaijan,Asia,37867.004,53,.00089092914,Other non-metallic mineral,26,4.8430367,EU27,49.98300042259507,.0419999994337559
AZE,Azerbaijan,Asia,37867.004,53,.00089092914,Other non-metallic mineral,26,4.8430367,RoW,10555.72382928361,8334.020791126299
AZE,Azerbaijan,Asia,37867.004,53,.00089092914,Basic metals and fabricated metal,27t28,1.9624588,EU27,45899.21732425597,38545.91451251414
AZE,Azerbaijan,Asia,37867.004,53,.00089092914,Basic metals and fabricated metal,27t28,1.9624588,RoW,326352.6436230029,216781.0940819579
AZE,Azerbaijan,Asia,37867.004,53,.00089092914,"Machinery, nec",29,.19455881,EU27,6414.91609663656,1.303999997675419
AZE,Azerbaijan,Asia,37867.004,53,.00089092914,"Machinery, nec",29,.19455881,RoW,47874.63987624587,31.11300053074956
AZE,Azerbaijan,Asia,37867.004,53,.00089092914,Electrical and optical equipment,30t33,.20186955,EU27,5193.448040221352,0
AZE,Azerbaijan,Asia,37867.004,53,.00089092914,Electrical and optical equipment,30t33,.20186955,RoW,22173.00501421001,0
AZE,Azerbaijan,Asia,37867.004,53,.00089092914,Transport equipment,34t35,.29114175,EU27,3849.382042286918,0
AZE,Azerbaijan,Asia,37867.004,53,.00089092914,Transport equipment,34t35,.29114175,RoW,77548.38523622602,0
AZE,Azerbaijan,Asia,37867.004,53,.00089092914,Manufacturing nec; recycling,36t37,.26614583,EU27,3690.784003387089,0
AZE,Azerbaijan,Asia,37867.004,53,.00089092914,Manufacturing nec; recycling,36t37,.26614583,RoW,53749.77422800066,31756.51215362549
AZE,Azerbaijan,Asia,37867.004,53,.00089092914,"Agriculture, hunting, forestry and fishing",AtB,.37349537,EU27,71073.06690981612,0
AZE,Azerbaijan,Asia,37867.004,53,.00089092914,"Agriculture, hunting, forestry and fishing",AtB,.37349537,RoW,327512.5811759168,0
AZE,Azerbaijan,Asia,37867.004,53,.00089092914,Mining and quarrying,C,1.4879924,EU27,7272083.504817622,0
AZE,Azerbaijan,Asia,37867.004,53,.00089092914,Mining and quarrying,C,1.4879924,RoW,4565090.85108631,80.70400238037109
BHR,Bahrain,Asia,32235.107,60,.00063628191,"Food , beverages and tobacco",15t16,.35987267,EU27,855.4559931010008,0
