year,tradeflow,reportercode,reporter,reporteriso,partner,partneriso,commoditycode,commodity,netweightkg,tradevalueus
2018,Export,490,Taiwan,TWN,World,WLD,854232,Electronic integrated circuits; memories,3922345,11420810233
2019,Export,410,Rep. of Korea,KOR,World,WLD,854232,Electronic integrated circuits; memories,2315104,53161754430
2019,Export,490,Taiwan,TWN,World,WLD,854232,Electronic integrated circuits; memories,3681847,11831818126
2020,Export,410,Rep. of Korea,KOR,World,WLD,854232,Electronic integrated circuits; memories,2904294,52359154106
2020,Export,490,Taiwan,TWN,World,WLD,854232,Electronic integrated circuits; memories,5338957,17522432445
2016,Export,410,Rep. of Korea,KOR,World,WLD,854110,"Electrical apparatus; diodes, other than photosensitive or light emitting diodes",1239137,206381350
2016,Export,490,Taiwan,TWN,World,WLD,854110,"Electrical apparatus; diodes, other than photosensitive or light emitting diodes",5088444,1209524209
2016,Export,410,Rep. of Korea,KOR,World,WLD,854121,"Electrical apparatus; transistors, (other than photosensitive), with a dissipation rate of less than 1W",675440,261018382
2016,Export,490,Taiwan,TWN,World,WLD,854121,"Electrical apparatus; transistors, (other than photosensitive), with a dissipation rate of less than 1W",222055,80428186
2016,Export,410,Rep. of Korea,KOR,World,WLD,854129,"Electrical apparatus; transistors, (other than photosensitive), with a dissipation rate of 1W or more",1821721,432823922
2016,Export,490,Taiwan,TWN,World,WLD,854129,"Electrical apparatus; transistors, (other than photosensitive), with a dissipation rate of 1W or more",1590078,518036601
2016,Export,410,Rep. of Korea,KOR,World,WLD,854130,"Electrical apparatus; thyristors, diacs and triacs, other than photosensitive devices",14819,1745567
2016,Export,490,Taiwan,TWN,World,WLD,854130,"Electrical apparatus; thyristors, diacs and triacs, other than photosensitive devices",81508,13652476
2016,Export,410,Rep. of Korea,KOR,World,WLD,854140,"Electrical apparatus; photosensitive, including photovoltaic cells, whether or not assembled in modules or made up into panels, light emitting diodes",197458915,4163702600
2016,Export,490,Taiwan,TWN,World,WLD,854140,"Electrical apparatus; photosensitive, including photovoltaic cells, whether or not assembled in modules or made up into panels, light emitting diodes",62659111,5093793471
2016,Export,410,Rep. of Korea,KOR,World,WLD,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.c. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",110373,213342331
2016,Export,490,Taiwan,TWN,World,WLD,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.c. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",29595,17025032
2016,Export,410,Rep. of Korea,KOR,World,WLD,854160,Crystals; mounted piezo-electric,374052,66369671
2016,Export,490,Taiwan,TWN,World,WLD,854160,Crystals; mounted piezo-electric,558076,564869222
2016,Export,410,Rep. of Korea,KOR,World,WLD,854190,"Electrical apparatus; parts for diodes, transistors and similar semiconductor devices and photosensitive semiconductor devices",5390683,331375981
2016,Export,490,Taiwan,TWN,World,WLD,854190,"Electrical apparatus; parts for diodes, transistors and similar semiconductor devices and photosensitive semiconductor devices",10874791,353870964
2016,Export,410,Rep. of Korea,KOR,World,WLD,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",5366738,17065771792
2016,Export,490,Taiwan,TWN,World,WLD,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",1157422,1694977580
2016,Export,410,Rep. of Korea,KOR,World,WLD,854232,Electronic integrated circuits; memories,2258471,31612307480
2016,Export,490,Taiwan,TWN,World,WLD,854232,Electronic integrated circuits; memories,4971232,8107314855
